=== RIG ===
f_ring.03.L|world=(-0.29118, 2.58331, -6.61247)|rot=(24.342, 177.515, 145.530)|view=(0.18670, 0.14288, 0.38753)
f_ring.03.L_end|world=(-0.27779, 2.56505, -6.60363)|rot=(24.342, 177.515, 145.530)|view=(0.20777, 0.11671, 0.39637)
palm.04.L|world=(-0.34651, 2.57702, -6.74257)|rot=(50.868, 69.137, 64.876)|view=(-0.06127, -0.05571, 0.25743)
f_pinky.01.L|world=(-0.34749, 2.59473, -6.67888)|rot=(52.373, 130.891, 115.929)|view=(0.04879, 0.09540, 0.32112)
f_pinky.02.L|world=(-0.33311, 2.58300, -6.63903)|rot=(35.685, 154.394, 134.127)|view=(0.11521, 0.11597, 0.36097)
f_pinky.03.L|world=(-0.32245, 2.57022, -6.62374)|rot=(25.232, 169.560, 142.284)|view=(0.14266, 0.10640, 0.37626)
f_pinky.03.L_end|world=(-0.31022, 2.55402, -6.61373)|rot=(25.232, 169.560, 142.284)|view=(0.16513, 0.08552, 0.38627)
hand.R|world=(0.27900, 2.56312, -6.64506)|rot=(346.045, 237.181, 306.884)|view=(0.82775, 0.06793, 0.35494)
palm.01.R|world=(0.24707, 2.59545, -6.63160)|rot=(45.996, 328.334, 0.615)|view=(0.77965, 0.14878, 0.36840)
f_index.01.R|world=(0.21939, 2.64519, -6.58817)|rot=(69.603, 154.028, 178.823)|view=(0.72213, 0.27534, 0.41183)
f_index.02.R|world=(0.19985, 2.62782, -6.54573)|rot=(331.505, 154.893, 184.976)|view=(0.68344, 0.26798, 0.45427)
f_index.03.R|world=(0.20283, 2.60665, -6.55703)|rot=(283.465, 354.159, 342.077)|view=(0.69092, 0.22665, 0.44297)
f_index.03.R_end|world=(0.21332, 2.61246, -6.58033)|rot=(283.465, 354.159, 342.077)|view=(0.71195, 0.22172, 0.41967)
thumb.01.R|world=(0.23337, 2.57832, -6.62533)|rot=(15.639, 15.367, 63.802)|view=(0.75972, 0.12077, 0.37467)
thumb.02.R|world=(0.19549, 2.59764, -6.60931)|rot=(25.321, 51.527, 61.441)|view=(0.70864, 0.17297, 0.39069)
thumb.03.R|world=(0.18141, 2.61338, -6.57962)|rot=(31.381, 116.548, 85.785)|view=(0.67994, 0.22383, 0.42038)
thumb.03.R_end|world=(0.19914, 2.61570, -6.54731)|rot=(31.381, 116.548, 85.785)|view=(0.68342, 0.24734, 0.45269)
palm.02.R|world=(0.26307, 2.59476, -6.62057)|rot=(44.072, 318.986, 347.737)|view=(0.78910, 0.15763, 0.37943)
f_middle.01.R|world=(0.24265, 2.64492, -6.57396)|rot=(62.060, 164.934, 190.713)|view=(0.73748, 0.28237, 0.42604)
f_middle.02.R|world=(0.22007, 2.61926, -6.52994)|rot=(321.342, 149.152, 198.029)|view=(0.69521, 0.26229, 0.47006)
f_middle.03.R|world=(0.22125, 2.59663, -6.55031)|rot=(298.359, 7.462, 330.462)|view=(0.70515, 0.21422, 0.44969)
f_middle.03.R_end|world=(0.23226, 2.60832, -6.57359)|rot=(298.359, 7.462, 330.462)|view=(0.72712, 0.21893, 0.42641)
palm.03.R|world=(0.27711, 2.58920, -6.61297)|rot=(314.892, 135.541, 24.322)|view=(0.79855, 0.15371, 0.38703)
f_ring.01.R|world=(0.26578, 2.63529, -6.55928)|rot=(57.854, 180.782, 204.962)|view=(0.75146, 0.27341, 0.44072)
f_ring.02.R|world=(0.24467, 2.61054, -6.51962)|rot=(330.263, 149.737, 209.508)|view=(0.71237, 0.25394, 0.48038)
f_ring.03.R|world=(0.23793, 2.58604, -6.53975)|rot=(302.289, 29.873, 314.478)|view=(0.71556, 0.20372, 0.46025)
f_ring.03.R_end|world=(0.24580, 2.59514, -6.56087)|rot=(302.289, 29.873, 314.478)|view=(0.73340, 0.20483, 0.43913)
palm.04.R|world=(0.28846, 2.58198, -6.60407)|rot=(41.786, 306.874, 321.696)|view=(0.80379, 0.14799, 0.39593)
f_pinky.01.R|world=(0.28539, 2.62067, -6.55054)|rot=(43.601, 183.472, 212.366)|view=(0.76476, 0.25371, 0.44946)
f_pinky.02.R|world=(0.26345, 2.59378, -6.52355)|rot=(337.122, 154.321, 219.275)|view=(0.73057, 0.22583, 0.47645)
f_pinky.03.R|world=(0.25351, 2.57766, -6.53588)|rot=(307.694, 66.136, 280.105)|view=(0.72775, 0.19280, 0.46412)
f_pinky.03.R_end|world=(0.25965, 2.58009, -6.55753)|rot=(307.694, 66.136, 280.105)|view=(0.74468, 0.18184, 0.44247)
KNIFE_BOUNDS center=(0.14196, 2.63691, -6.60537) size=(0.35138, 0.22516, 0.20932) view=(0.65000, 0.25000, 0.39463)
